,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,h_Home_Scorerol,h_Away_Scorerol,h_fgarol,h_fg_pctrol,h_fg2arol,h_fg2_pctrol,h_fg3arol,h_fg3_pctrol,h_ftarol,h_ft_pctrol,h_opp_fgarol,h_opp_fg_pctrol,h_opp_fg2arol,h_opp_fg2_pctrol,h_opp_fg3arol,h_opp_fg3_pctrol,h_opp_ftarol,h_opp_ft_pctrol,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,Home_Scorerol,Away_Scorerol,fgarol,fg_pctrol,fg2arol,fg2_pctrol,fg3arol,fg3_pctrol,ftarol,ft_pctrol,opp_fgarol,opp_fg_pctrol,opp_fg2arol,opp_fg2_pctrol,opp_fg3arol,opp_fg3_pctrol,opp_ftarol,opp_ft_pctrol
25,25,20151030,2016,MIL,WAS,1420.719291,1538.82252,0.473970912,0.526029088,113,118,Washington,22,39,21,36,-135,33,32,27,21,115,200,2,A,1338,4,L ,,,,,,,,,,,,,,,,,,,25,20151030,2016,MIL,WAS,1420.719291,1538.82252,0.473970912,0.526029088,113,118,Washington,22,39,21,36,-135,33,32,27,21,115,200,2,A,1338,4,L ,,,,,,,,,,,,,,,,,,
22,22,20151030,2016,ORL,OKC,1357.17448,1571.498244,0.34116644,0.65883356,136,139,OklahomaCity,31,22,22,42,-365,35,32,26,24,300,205.5,7.5,A,1339,2,L ,,,,,,,,,,,,,,,,,,,22,20151030,2016,ORL,OKC,1357.17448,1571.498244,0.34116644,0.65883356,136,139,OklahomaCity,31,22,22,42,-365,35,32,26,24,300,205.5,7.5,A,1339,2,L ,,,,,,,,,,,,,,,,,,
21,21,20151030,2016,PHI,UTA,1329.545208,1536.911939,0.35022449,0.64977551,71,99,Utah,28,22,24,25,-325,19,14,20,18,260,186,7.5,A,1340,4,L ,,,,,,,,,,,,,,,,,,,21,20151030,2016,PHI,UTA,1329.545208,1536.911939,0.35022449,0.64977551,71,99,Utah,28,22,24,25,-325,19,14,20,18,260,186,7.5,A,1340,4,L ,,,,,,,,,,,,,,,,,,
31,31,20151030,2016,PHO,POR,1460.590576,1552.845564,0.511144122,0.488855878,110,92,Portland,23,26,20,23,170,27,28,28,27,-200,204.5,-4.5,H,1341,7,W ,,,,,,,,,,,,,,,,,,,31,20151030,2016,PHO,POR,1460.590576,1552.845564,0.511144122,0.488855878,110,92,Portland,23,26,20,23,170,27,28,28,27,-200,204.5,-4.5,H,1341,7,W ,,,,,,,,,,,,,,,,,,
30,30,20151030,2016,SAC,LAL,1434.529426,1332.815306,0.761543396,0.238456604,132,114,LALakers,24,26,33,31,245,40,34,28,30,-305,212,-7,H,1342,2,W ,,,,,,,,,,,,,,,,,,,30,20151030,2016,SAC,LAL,1434.529426,1332.815306,0.761543396,0.238456604,132,114,LALakers,24,26,33,31,245,40,34,28,30,-305,212,-7,H,1342,2,W ,,,,,,,,,,,,,,,,,,
27,27,20151030,2016,SAS,BRK,1659.145681,1456.306128,0.85110379,0.14889621,102,75,Brooklyn,21,26,17,11,900,25,17,34,26,-1600,202,-13.5,H,1343,9,W ,,,,,,,,,,,,,,,,,,,27,20151030,2016,SAS,BRK,1659.145681,1456.306128,0.85110379,0.14889621,102,75,Brooklyn,21,26,17,11,900,25,17,34,26,-1600,202,-13.5,H,1343,9,W ,,,,,,,,,,,,,,,,,,
33,33,20151031,2016,IND,UTA,1487.927675,1550.327765,0.553900361,0.446099639,76,97,Utah,23,19,28,27,140,29,20,12,15,-160,193,-4,A,1344,3,L ,,,,,,,,,,,,,,,,,,,33,20151031,2016,IND,UTA,1487.927675,1550.327765,0.553900361,0.446099639,76,97,Utah,23,19,28,27,140,29,20,12,15,-160,193,-4,A,1344,3,L ,,,,,,,,,,,,,,,,,,
37,37,20151031,2016,LAC,SAC,1658.617456,1440.78378,0.861713796,0.138286204,114,109,Sacramento,31,24,24,30,485,24,35,24,31,-635,216,-10.5,H,1345,10,W ,,,,,,,,,,,,,,,,,,,37,20151031,2016,LAC,SAC,1658.617456,1440.78378,0.861713796,0.138286204,114,109,Sacramento,31,24,24,30,485,24,35,24,31,-635,216,-10.5,H,1345,10,W ,,,,,,,,,,,,,,,,,,
35,35,20151031,2016,MEM,BRK,1568.4803,1451.449523,0.777183787,0.222816213,101,91,Brooklyn,26,19,24,22,705,31,25,23,22,-955,192.5,-12,H,1346,1,W ,,,,,,,,,,,,,,,,,,,35,20151031,2016,MEM,BRK,1568.4803,1451.449523,0.777183787,0.222816213,101,91,Brooklyn,26,19,24,22,705,31,25,23,22,-955,192.5,-12,H,1346,1,W ,,,,,,,,,,,,,,,,,,
34,34,20151031,2016,NOP,GSW,1509.104747,1758.765515,0.297022575,0.702977425,120,134,GoldenState,31,33,41,29,-235,28,37,26,29,200,211.5,5.5,A,1347,13,L ,,,,,,,,,,,,,,,,,,,34,20151031,2016,NOP,GSW,1509.104747,1758.765515,0.297022575,0.702977425,120,134,GoldenState,31,33,41,29,-235,28,37,26,29,200,211.5,5.5,A,1347,13,L ,,,,,,,,,,,,,,,,,,
