,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,2H,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,h_Home_Scorerol,h_Away_Scorerol,h_fgarol,h_fg_pctrol,h_fg2arol,h_fg2_pctrol,h_fg3arol,h_fg3_pctrol,h_ftarol,h_ft_pctrol,h_opp_fgarol,h_opp_fg_pctrol,h_opp_fg2arol,h_opp_fg2_pctrol,h_opp_fg3arol,h_opp_fg3_pctrol,h_opp_ftarol,h_opp_ft_pctrol,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,Home_Scorerol,Away_Scorerol,fgarol,fg_pctrol,fg2arol,fg2_pctrol,fg3arol,fg3_pctrol,ftarol,ft_pctrol,opp_fgarol,opp_fg_pctrol,opp_fg2arol,opp_fg2_pctrol,opp_fg3arol,opp_fg3_pctrol,opp_ftarol,opp_ft_pctrol
643,643,2017120,2017,CHO,TOR,1525.274227,1620.501864,0.50686755,0.49313245,113,78,Toronto,18,30,15,15,100,2,29,33,25,-120,216,-1.5,H,3268,1,W ,109,96.25,85.125,0.464125,61.375,0.499375,23.75,0.3715,25.875,0.825125,90,0.411625,60.125,0.45025,29.875,0.3335,15.125,0.807625,643,2017120,2017,CHO,TOR,1525.274227,1620.501864,0.50686755,0.49313245,113,78,Toronto,18,30,15,15,100,2,29,33,25,-120,216,-1.5,H,3268,1,W ,110.375,101.375,83.625,0.469625,58.25,0.48275,25.375,0.4405,25.875,0.81225,85.625,0.42625,60.5,0.46825,25.125,0.338375,25.125,0.81375
649,649,2017120,2017,DAL,UTA,1421.740578,1601.800487,0.386781381,0.613218619,107,112,Utah,19,27,26,26,-220,1.5,19,27,30,190,188.5,5.5,A,3269,18,L ,98.25,100,80.625,0.43775,50,0.47725,30.625,0.37025,20.125,0.819875,79.875,0.45275,55.75,0.48725,24.125,0.3685,24,0.780125,649,2017120,2017,DAL,UTA,1421.740578,1601.800487,0.386781381,0.613218619,107,112,Utah,19,27,26,26,-220,1.5,19,27,30,190,188.5,5.5,A,3269,18,L ,99.125,98.875,81.5,0.457375,58.5,0.502,23,0.337625,21.25,0.804875,80.5,0.447375,57,0.484875,23.5,0.35575,25,0.744375
646,646,2017120,2017,HOU,GSW,1641.153599,1760.985072,0.471491171,0.528508829,108,125,GoldenState,32,30,37,26,-210,2,28,22,29,180,242,5,A,3270,3,L ,116.625,110.75,87.5,0.463875,46,0.583,41.5,0.327875,28.125,0.77225,91.125,0.4685,59,0.530875,32.125,0.349375,18.875,0.761375,646,2017120,2017,HOU,GSW,1641.153599,1760.985072,0.471491171,0.528508829,108,125,GoldenState,32,30,37,26,-210,2,28,22,29,180,242,5,A,3270,3,L ,108,113,85.75,0.4535,54.875,0.515875,30.875,0.341875,26.125,0.769875,86.375,0.483375,54.625,0.552125,31.75,0.36525,22.125,0.80825
650,650,2017120,2017,LAL,IND,1360.993398,1506.346128,0.435100377,0.564899623,108,96,Indiana,24,29,22,21,-170,3,24,35,22,150,221,3.5,H,3271,14,W ,110.125,106.5,89.75,0.452875,60,0.4915,29.75,0.3735,24.375,0.734625,85.25,0.459,60.125,0.499625,25.125,0.367125,26.25,0.7345,650,2017120,2017,LAL,IND,1360.993398,1506.346128,0.435100377,0.564899623,108,96,Indiana,24,29,22,21,-170,3,24,35,22,150,221,3.5,H,3271,14,W ,109.125,105,84.875,0.473,58,0.509375,26.875,0.396125,23.125,0.788125,82.125,0.471,59.125,0.505375,23,0.378875,23.75,0.8195
648,648,2017120,2017,MEM,SAC,1552.164358,1425.312559,0.786820219,0.213179781,107,91,Sacramento,23,19,22,27,290,102,34,34,24,-350,200,-8,H,3272,5,W ,100.25,94.625,85.375,0.428375,59.25,0.456625,26.125,0.36375,22.125,0.822875,77,0.415625,48.125,0.48375,28.875,0.289,30.375,0.71875,648,2017120,2017,MEM,SAC,1552.164358,1425.312559,0.786820219,0.213179781,107,91,Sacramento,23,19,22,27,290,102,34,34,24,-350,200,-8,H,3272,5,W ,105.375,97,78.875,0.4675,47.625,0.511875,31.25,0.396625,22.75,0.823,80.625,0.43925,52.75,0.490375,27.875,0.34925,22,0.75275
645,645,2017120,2017,NOP,BRK,1441.24343,1256.397292,0.837494953,0.162505047,114,143,Brooklyn,29,37,43,34,450,115,22,30,30,-600,221.5,-10,A,3273,8,L ,104.5,102.375,88.625,0.44225,58,0.46725,30.625,0.393375,20.25,0.730125,88,0.43925,58.75,0.4805,29.25,0.367375,18.75,0.781125,645,2017120,2017,NOP,BRK,1441.24343,1256.397292,0.837494953,0.162505047,114,143,Brooklyn,29,37,43,34,450,115,22,30,30,-600,221.5,-10,A,3273,8,L ,116.125,108.625,93,0.471875,68,0.50925,25,0.375625,23,0.844,84.5,0.456,52,0.49475,32.5,0.391375,23.25,0.80425
644,644,2017120,2017,ORL,MIL,1396.73852,1495.08819,0.502374999,0.497625001,112,96,Milwaukee,23,32,19,22,-160,3,34,29,24,140,211.5,3.5,H,3274,1,W ,102,104.875,88.125,0.45325,61.125,0.517125,27,0.313875,18.125,0.7625,83.375,0.466875,56,0.52,27.375,0.382875,21.75,0.771375,644,2017120,2017,ORL,MIL,1396.73852,1495.08819,0.502374999,0.497625001,112,96,Milwaukee,23,32,19,22,-160,3,34,29,24,140,211.5,3.5,H,3274,1,W ,106.375,104.25,86.5,0.470125,57.5,0.5135,29,0.3885,19.375,0.725375,81.375,0.49725,59.625,0.52925,21.75,0.419625,20.25,0.748375
642,642,2017120,2017,PHI,POR,1359.754391,1488.322125,0.458980128,0.541019872,93,92,Portland,33,23,15,21,-135,101.5,21,27,23,115,209.5,2,H,3275,7,W ,96.25,97.125,84.375,0.411125,54,0.4685,30.375,0.3175,22.75,0.768375,85.125,0.414375,61,0.4615,24.125,0.31775,24,0.804125,642,2017120,2017,PHI,POR,1359.754391,1488.322125,0.458980128,0.541019872,93,92,Portland,33,23,15,21,-135,101.5,21,27,23,115,209.5,2,H,3275,7,W ,107.125,101.625,84,0.4625,58.25,0.485125,25.75,0.422125,24.875,0.752125,85.125,0.444625,61,0.505625,24.125,0.299125,25.125,0.78825
653,653,2017121,2017,ATL,PHI,1526.888239,1364.23019,0.819354645,0.180645355,110,93,Philadelphia,25,29,23,16,450,96.5,37,28,20,-600,199.5,-10,H,3276,7,W ,105.875,99.125,89.875,0.444625,64.125,0.472875,25.75,0.369,23.375,0.73725,85.125,0.425875,56.125,0.47975,29,0.313375,21.125,0.835,653,2017121,2017,ATL,PHI,1526.888239,1364.23019,0.819354645,0.180645355,110,93,Philadelphia,25,29,23,16,450,96.5,37,28,20,-600,199.5,-10,H,3276,7,W ,106.5,102.125,85,0.46325,60.5,0.474625,24.5,0.410875,24.375,0.715625,83.625,0.435125,54.375,0.47625,29.25,0.353375,24.25,0.787125
651,651,2017121,2017,BOS,POR,1579.241366,1483.846326,0.75487507,0.24512493,123,127,Portland,26,30,32,25,270,105.5,37,21,27,-330,217,-7.5,A,3277,27,L ,114.125,110.25,85,0.4685,49.125,0.4915,35.875,0.43725,22.5,0.87025,88.75,0.47225,62,0.519625,26.75,0.370625,20.375,0.795375,651,2017121,2017,BOS,POR,1579.241366,1483.846326,0.75487507,0.24512493,123,127,Portland,26,30,32,25,270,105.5,37,21,27,-330,217,-7.5,A,3277,27,L ,106.75,102.375,86.5,0.450125,59.25,0.47225,27.25,0.414125,23.375,0.752375,85.875,0.439,62.125,0.481,23.75,0.33125,24.625,0.80525
661,661,2017121,2017,CHI,SAC,1467.772153,1420.239257,0.700413487,0.299586513,102,99,Sacramento,21,31,21,26,240,100.5,31,20,27,-280,205,-6.5,H,3278,15,W ,104.875,106.25,88.375,0.419,68.25,0.435625,20.125,0.356,28.125,0.828625,82.375,0.483625,57.625,0.5305,24.75,0.384125,22.375,0.776,661,2017121,2017,CHI,SAC,1467.772153,1420.239257,0.700413487,0.299586513,102,99,Sacramento,21,31,21,26,240,100.5,31,20,27,-280,205,-6.5,H,3278,15,W ,101.625,97.125,78.625,0.44525,50.5,0.4835,28.125,0.37525,24.875,0.850875,79.625,0.44125,52.5,0.492375,27.125,0.3495,23.25,0.74575
654,654,2017121,2017,CHO,BRK,1549.323628,1302.676335,0.880319816,0.119680184,112,105,Brooklyn,14,32,35,24,650,114,32,21,31,-1000,222,-12,H,3279,11,W ,109.375,98.375,84.75,0.463375,60,0.496,24.75,0.37875,25.75,0.840875,89.625,0.418875,58.875,0.45125,30.75,0.35225,15.25,0.809375,654,2017121,2017,CHO,BRK,1549.323628,1302.676335,0.880319816,0.119680184,112,105,Brooklyn,14,32,35,24,650,114,32,21,31,-1000,222,-12,H,3279,11,W ,116.625,108.375,92.25,0.477375,67,0.51525,25.25,0.380375,22.875,0.848875,85.375,0.4545,52,0.48675,33.375,0.399125,21.25,0.8115
658,658,2017121,2017,CLE,SAS,1640.408041,1713.930129,0.53803118,0.46196882,115,118,SanAntonio,22,35,27,23,140,110,25,31,18,-160,211.5,-3.5,A,3280,15,L ,110.25,104.5,89.125,0.455625,55.75,0.5185,33.375,0.3555,24.375,0.707375,84.75,0.460375,57.25,0.521125,27.5,0.344,20.875,0.808375,658,2017121,2017,CLE,SAS,1640.408041,1713.930129,0.53803118,0.46196882,115,118,SanAntonio,22,35,27,23,140,110,25,31,18,-160,211.5,-3.5,A,3280,15,L ,103,110.25,86.625,0.444625,57.75,0.492125,28.875,0.358,21.625,0.727375,83.5,0.49225,61.625,0.5135,21.875,0.427375,23,0.828375
660,660,2017121,2017,DEN,LAC,1463.712427,1598.090895,0.450686245,0.549313755,123,98,LAClippers,18,27,26,27,175,2,32,36,28,-200,222.5,-5,H,3281,0,W ,116.875,113.125,84.625,0.512625,56.375,0.574125,28.25,0.382125,23,0.834875,90.375,0.475,62.625,0.515125,27.75,0.376375,20.5,0.84175,660,2017121,2017,DEN,LAC,1463.712427,1598.090895,0.450686245,0.549313755,123,98,LAClippers,18,27,26,27,175,2,32,36,28,-200,222.5,-5,H,3281,0,W ,113.375,102,84,0.4875,55.875,0.5575,28.125,0.3685,28.5,0.7355,88.875,0.435,57.25,0.493,31.625,0.328,18.5,0.79425
652,652,2017121,2017,DET,WAS,1487.877651,1533.069744,0.578227098,0.421772902,113,112,Washington,26,29,27,30,105,1,31,37,15,-125,207,-2,H,3282,5,W ,107.625,108.5,88.625,0.45525,61.875,0.494375,26.75,0.36525,23.75,0.696125,82,0.46725,57,0.497875,25,0.3995,27,0.832,652,2017121,2017,DET,WAS,1487.877651,1533.069744,0.578227098,0.421772902,113,112,Washington,26,29,27,30,105,1,31,37,15,-125,207,-2,H,3282,5,W ,109.375,104.875,85.125,0.474625,56,0.526,29.125,0.372,21.625,0.82225,88.5,0.465125,61.75,0.531125,26.75,0.308625,18.25,0.788125
657,657,2017121,2017,MEM,HOU,1557.237661,1627.557003,0.542610295,0.457389705,95,119,Houston,32,26,33,28,-110,104.5,27,23,23,-110,214.5,0,A,3283,2,L ,100.625,97.5,86.875,0.427625,59.625,0.453375,27.25,0.371875,21.125,0.811375,77,0.43125,45.875,0.512375,31.125,0.300125,28.875,0.7325,657,2017121,2017,MEM,HOU,1557.237661,1627.557003,0.542610295,0.457389705,95,119,Houston,32,26,33,28,-110,104.5,27,23,23,-110,214.5,0,A,3283,2,L ,109,115.625,86.25,0.46225,56.125,0.5105,30.125,0.370875,23.625,0.78525,86.375,0.46875,44.125,0.56475,42.25,0.369625,24.125,0.7925
655,655,2017121,2017,MIA,MIL,1427.842396,1481.114831,0.566843826,0.433156174,109,97,Milwaukee,22,21,28,26,-130,5,28,29,27,110,205.5,2,H,3284,3,W ,106.125,107,82.5,0.486625,57.125,0.51975,25.375,0.4155,23.25,0.6755,88,0.458,60.25,0.510625,27.75,0.35175,22.875,0.725,655,2017121,2017,MIA,MIL,1427.842396,1481.114831,0.566843826,0.433156174,109,97,Milwaukee,22,21,28,26,-130,5,28,29,27,110,205.5,2,H,3284,3,W ,108.25,101.5,85.125,0.48125,55.375,0.5235,29.75,0.411375,20.125,0.72675,80.75,0.478125,59.5,0.51,21.25,0.39875,22.25,0.75225
656,656,2017121,2017,NYK,PHO,1432.034334,1374.322938,0.712562006,0.287437994,105,107,Phoenix,30,31,29,17,180,116.5,22,35,15,-210,224,-4.5,A,3285,15,L ,105.375,108.25,88.125,0.4625,63.75,0.496125,24.375,0.375,18.875,0.77525,86.875,0.466125,58.375,0.51075,28.5,0.370125,21.125,0.7775,656,2017121,2017,NYK,PHO,1432.034334,1374.322938,0.712562006,0.287437994,105,107,Phoenix,30,31,29,17,180,116.5,22,35,15,-210,224,-4.5,A,3285,15,L ,110.375,102.125,83.875,0.485125,58,0.532125,25.875,0.391875,23.75,0.79125,87.625,0.4345,67.75,0.465,19.875,0.330375,24.75,0.79975
659,659,2017121,2017,UTA,IND,1606.916659,1492.704596,0.774361342,0.225638658,109,100,Indiana,21,29,22,28,250,98.5,26,25,24,-300,200.5,-7,H,3286,0,W ,101.875,92.875,78.125,0.478,51.25,0.5225,26.875,0.387125,23.875,0.69125,81.125,0.441875,58,0.471875,23.125,0.376875,17.75,0.730875,659,2017121,2017,UTA,IND,1606.916659,1492.704596,0.774361342,0.225638658,109,100,Indiana,21,29,22,28,250,98.5,26,25,24,-300,200.5,-7,H,3286,0,W ,111.5,104.375,84.875,0.483375,58.75,0.52725,26.125,0.38575,24.375,0.794875,81.375,0.474,58.25,0.502625,23.125,0.401875,22.75,0.81275
663,663,2017122,2017,DAL,LAL,1416.624406,1374.63493,0.693675044,0.306324956,122,73,LALakers,22,11,22,18,210,6,38,23,32,-250,206.5,-6,H,3287,3,W ,102.875,97.25,81.75,0.44825,49.375,0.488375,32.375,0.38475,20.5,0.84325,80.125,0.437375,55.5,0.475625,24.625,0.349625,23.375,0.780875,663,2017122,2017,DAL,LAL,1416.624406,1374.63493,0.693675044,0.306324956,122,73,LALakers,22,11,22,18,210,6,38,23,32,-250,206.5,-6,H,3287,3,W ,118.375,98.875,87.125,0.521,58.625,0.56825,28.5,0.429375,20.375,0.772125,84.625,0.428875,56.625,0.462625,28,0.359375,20.625,0.775625
665,665,2017122,2017,MIN,DEN,1457.242225,1485.370871,0.601980672,0.398019328,111,108,Denver,29,29,26,24,145,108,34,22,27,-165,221,-3.5,H,3288,11,W ,103.5,96.125,81.125,0.492125,59.75,0.526125,21.375,0.382375,19.875,0.787625,79.875,0.456,53.75,0.5155,26.125,0.32225,20.375,0.74525,665,2017122,2017,MIN,DEN,1457.242225,1485.370871,0.601980672,0.398019328,111,108,Denver,29,29,26,24,145,108,34,22,27,-165,221,-3.5,H,3288,11,W ,116.375,108,88.75,0.51,61.875,0.560375,26.875,0.401875,19.875,0.784125,89.5,0.4575,60.125,0.526,29.375,0.323375,22.625,0.748
662,662,2017122,2017,ORL,GSW,1410.711879,1774.581669,0.179615215,0.820384785,98,118,GoldenState,28,22,42,26,-1400,9.5,28,24,24,800,225,13.5,A,3289,6,L ,99.5,105.75,88,0.45775,61.125,0.522625,26.875,0.315,14.875,0.719,84.125,0.467125,54.875,0.518625,29.25,0.3885,20.875,0.76425,662,2017122,2017,ORL,GSW,1410.711879,1774.581669,0.179615215,0.820384785,98,118,GoldenState,28,22,42,26,-1400,9.5,28,24,24,800,225,13.5,A,3289,6,L ,106.5,116.625,86.875,0.453625,55.75,0.51875,31.125,0.334625,24.5,0.7125,87.875,0.487125,54.25,0.55075,33.625,0.380125,22,0.831875
664,664,2017122,2017,TOR,PHO,1596.452463,1382.203189,0.859236647,0.140763353,103,115,Phoenix,28,29,25,33,650,114,29,25,18,-1000,219.5,-12,A,3290,8,L ,115.625,110.75,87.75,0.48025,64.75,0.5115,23,0.4015,27.625,0.80375,84.125,0.471625,55.125,0.523625,29,0.374125,25.875,0.806625,664,2017122,2017,TOR,PHO,1596.452463,1382.203189,0.859236647,0.140763353,103,115,Phoenix,28,29,25,33,650,114,29,25,18,-1000,219.5,-12,A,3290,8,L ,108.875,103,83.5,0.473875,56.625,0.524875,26.875,0.37825,25,0.778375,87.25,0.441375,67.25,0.475625,20,0.327875,23.875,0.826625
670,670,2017123,2017,ATL,LAC,1531.261332,1576.432451,0.578256544,0.421743456,105,115,LAClippers,30,28,27,30,260,100,19,35,30,-310,206.5,-7.5,A,3291,3,L ,106.25,101.25,88.25,0.451375,62.25,0.481625,26,0.375375,23.25,0.74575,84,0.441375,55.375,0.485125,28.625,0.353875,20.625,0.830625,670,2017123,2017,ATL,LAC,1531.261332,1576.432451,0.578256544,0.421743456,105,115,LAClippers,30,28,27,30,260,100,19,35,30,-310,206.5,-7.5,A,3291,3,L ,111.875,102.625,84.875,0.473625,55.5,0.550375,29.375,0.3415,28,0.75375,88.5,0.43575,56.875,0.48,31.625,0.364375,18.25,0.802375
669,669,2017123,2017,BRK,SAS,1301.099843,1720.076168,0.137504257,0.862495743,86,112,SanAntonio,27,25,39,21,-420,1.5,16,27,17,350,214.5,8.5,A,3292,5,L ,98.875,113.875,86.75,0.429375,55.5,0.512,31.25,0.282625,19.25,0.791625,92,0.455125,64,0.495125,28,0.365125,27.125,0.751,669,2017123,2017,BRK,SAS,1301.099843,1720.076168,0.137504257,0.862495743,86,112,SanAntonio,27,25,39,21,-420,1.5,16,27,17,350,214.5,8.5,A,3292,5,L ,102.25,110.875,86.125,0.444,57.5,0.500625,28.625,0.33675,21.625,0.748125,86.125,0.485625,63.5,0.501875,22.625,0.439375,21.75,0.814625
666,666,2017123,2017,CHO,WAS,1550.900121,1529.803423,0.667541967,0.332458033,99,109,Washington,30,30,20,29,210,103,26,26,25,-250,213,-6,A,3293,1,L ,107.125,97.875,84.25,0.454875,58.625,0.49625,25.625,0.355,25.875,0.84175,88.375,0.425,58.625,0.464875,29.75,0.341625,16,0.80275,666,2017123,2017,CHO,WAS,1550.900121,1529.803423,0.667541967,0.332458033,99,109,Washington,30,30,20,29,210,103,26,26,25,-250,213,-6,A,3293,1,L ,109.625,105.125,84.5,0.47325,54,0.53025,30.5,0.3675,22.375,0.828625,88.25,0.466875,60.625,0.528,27.625,0.33775,17.25,0.79375
668,668,2017123,2017,DET,SAC,1491.143972,1417.243131,0.731265699,0.268734301,104,109,Sacramento,28,37,23,21,250,107,24,21,21,-300,205.5,-7,A,3294,6,L ,109.875,109.875,89.875,0.472625,62.5,0.515125,27.375,0.37725,21.25,0.68975,82,0.474875,58.125,0.506125,23.875,0.403125,27.875,0.822875,668,2017123,2017,DET,SAC,1491.143972,1417.243131,0.731265699,0.268734301,104,109,Sacramento,28,37,23,21,250,107,24,21,21,-300,205.5,-7,A,3294,6,L ,103.125,98.75,79.25,0.460625,50.75,0.4975,28.5,0.394875,22.5,0.838375,79.875,0.45375,53.125,0.50225,26.75,0.366625,21.875,0.750625
673,673,2017123,2017,IND,NYK,1488.954579,1424.154084,0.720847205,0.279152795,103,109,NewYork,22,40,24,23,200,107.5,24,17,28,-240,217.5,-5.5,A,3295,6,L ,110.25,105.125,85.25,0.480375,63.25,0.52325,22,0.357375,24,0.838625,87.125,0.43825,56,0.5,31.125,0.3275,23.125,0.8075,673,2017123,2017,IND,NYK,1488.954579,1424.154084,0.720847205,0.279152795,103,109,NewYork,22,40,24,23,200,107.5,24,17,28,-240,217.5,-5.5,A,3295,6,L ,111.25,107.875,87.75,0.45175,57.875,0.4975,29.875,0.369375,25,0.857375,88.125,0.456125,62.25,0.491375,25.875,0.366125,22.75,0.808375
667,667,2017123,2017,MIA,GSW,1437.559738,1779.440319,0.199028625,0.800971375,105,102,GoldenState,30,18,25,29,-800,7,18,31,28,550,218.5,11,H,3296,12,W ,107.375,106.625,84.625,0.476625,58.5,0.5005,26.125,0.42275,23.5,0.679625,87.75,0.45925,59.75,0.51725,28,0.345,23,0.707875,667,2017123,2017,MIA,GSW,1437.559738,1779.440319,0.199028625,0.800971375,105,102,GoldenState,30,18,25,29,-800,7,18,31,28,550,218.5,11,H,3296,12,W ,106.125,114.875,87.5,0.453375,55.625,0.51525,31.875,0.341875,23.375,0.692875,88.5,0.488125,55.125,0.560625,33.375,0.36275,20.75,0.794375
672,672,2017123,2017,MIL,HOU,1471.397488,1648.257667,0.391159064,0.608840936,127,114,Houston,33,31,27,23,-215,5.5,35,25,34,185,226.5,5,H,3297,5,W ,111,107.75,81.625,0.503375,60.625,0.537125,21,0.41975,26,0.782,81.625,0.471,50.375,0.525625,31.25,0.385125,23.875,0.79375,672,2017123,2017,MIL,HOU,1471.397488,1648.257667,0.391159064,0.608840936,127,114,Houston,33,31,27,23,-215,5.5,35,25,34,185,226.5,5,H,3297,5,W ,110.5,116.25,86.125,0.4725,56.25,0.527,29.875,0.365625,23.875,0.787125,84.875,0.478625,44.75,0.578375,40.125,0.3715,25.75,0.782375
671,671,2017123,2017,NOP,CLE,1394.964387,1634.262001,0.309627461,0.690372539,124,122,Cleveland,26,24,36,36,-550,11,35,24,30,425,216,10,H,3298,0,W ,108.625,106.75,88.375,0.457625,56.375,0.4925,32,0.3955,21.375,0.738375,88.75,0.44525,57.375,0.49075,31.375,0.368,20.25,0.818875,671,2017123,2017,NOP,CLE,1394.964387,1634.262001,0.309627461,0.690372539,124,122,Cleveland,26,24,36,36,-550,11,35,24,30,425,216,10,H,3298,0,W ,111.625,108.5,85.75,0.491,55.375,0.556875,30.375,0.36675,21.125,0.774625,86.25,0.437625,52.875,0.490875,33.375,0.353875,26.75,0.8
674,674,2017123,2017,UTA,OKC,1610.666676,1585.972094,0.672122315,0.327877685,95,97,OklahomaCity,27,29,11,30,175,99.5,27,19,23,-200,203,-5,A,3299,16,L ,102.125,93.25,79.375,0.475875,53.25,0.520125,26.125,0.37525,24.375,0.6755,82.25,0.43875,59.25,0.47475,23,0.354875,17.875,0.7425,674,2017123,2017,UTA,OKC,1610.666676,1585.972094,0.672122315,0.327877685,95,97,OklahomaCity,27,29,11,30,175,99.5,27,19,23,-200,203,-5,A,3299,16,L ,110.625,105,83.375,0.472375,59,0.517625,24.375,0.363625,28.75,0.79975,87.875,0.445875,61.625,0.506,26.25,0.29775,23.25,0.803375
679,679,2017124,2017,DEN,UTA,1481.162493,1603.451737,0.467967134,0.532032866,103,93,Utah,22,17,28,26,105,3.5,33,29,23,-125,210.5,-2,H,3300,4,W ,116.25,111.125,84.375,0.511,56,0.56825,28.375,0.39025,22.5,0.83475,90.25,0.47275,62.875,0.51125,27.375,0.376125,19,0.83475,679,2017124,2017,DEN,UTA,1481.162493,1603.451737,0.467967134,0.532032866,103,93,Utah,22,17,28,26,105,3.5,33,29,23,-125,210.5,-2,H,3300,4,W ,99.5,97.75,80.625,0.45625,56.375,0.49925,24.25,0.3545,22.375,0.795375,81.75,0.4355,58.75,0.466375,23,0.35225,24.625,0.751125
677,677,2017124,2017,ORL,CHI,1405.853229,1470.768278,0.550320372,0.449679628,92,100,Chicago,20,32,26,22,-155,1.5,27,24,19,135,204.5,3,A,3301,12,L ,101.125,104.625,88.25,0.458,61.25,0.515625,27,0.336875,16.25,0.701625,82.875,0.46225,54.25,0.50725,28.625,0.395875,22,0.764875,677,2017124,2017,ORL,CHI,1405.853229,1470.768278,0.550320372,0.449679628,92,100,Chicago,20,32,26,22,-155,1.5,27,24,19,135,204.5,3,A,3301,12,L ,103.375,99.5,85.75,0.468625,62.875,0.49925,22.875,0.382875,18.125,0.79725,83.5,0.441375,60.625,0.4905,22.875,0.302875,24,0.7945
678,678,2017124,2017,PHI,LAC,1359.857096,1588.984768,0.322278878,0.677721122,121,110,LAClippers,29,39,21,21,-195,101,32,30,32,175,203.5,4.5,H,3302,7,W ,100.25,98.375,84.625,0.428125,54.5,0.48325,30.125,0.336375,22.5,0.78875,84.125,0.4155,59.5,0.44325,24.625,0.346375,26.375,0.775375,678,2017124,2017,PHI,LAC,1359.857096,1588.984768,0.322278878,0.677721122,121,110,LAClippers,29,39,21,21,-195,101,32,30,32,175,203.5,4.5,H,3302,7,W ,113.125,103.625,85.625,0.476625,55.75,0.554375,29.875,0.344625,27,0.77725,86.75,0.4395,54.5,0.470375,32.25,0.387375,20.625,0.779375
680,680,2017124,2017,PHO,MIN,1408.915063,1461.450603,0.567885054,0.432114946,111,112,Minnesota,23,36,28,25,-125,107,29,23,32,105,215.5,1.5,A,3303,8,L ,108.125,106.625,82,0.482125,59.875,0.51775,22.125,0.393375,25.125,0.822625,83,0.47675,56.875,0.523375,26.125,0.3715,23.125,0.77075,680,2017124,2017,PHO,MIN,1408.915063,1461.450603,0.567885054,0.432114946,111,112,Minnesota,23,36,28,25,-125,107,29,23,32,105,215.5,1.5,A,3303,8,L ,106.75,102,82.625,0.48825,58.375,0.544375,24.25,0.35775,22.75,0.78275,83.5,0.465875,65.25,0.50475,18.25,0.3325,23.125,0.7835
675,675,2017124,2017,TOR,SAS,1569.740589,1724.396299,0.421986583,0.578013417,106,108,SanAntonio,29,32,18,29,115,105.5,29,25,27,-135,203,-2.5,A,3304,10,L ,113.75,108.625,87.5,0.468375,64,0.508125,23.5,0.372,27.875,0.829125,84,0.460625,55.125,0.515375,28.875,0.355625,26,0.815375,675,2017124,2017,TOR,SAS,1569.740589,1724.396299,0.421986583,0.578013417,106,108,SanAntonio,29,32,18,29,115,105.5,29,25,27,-135,203,-2.5,A,3304,10,L ,103,111.625,85.125,0.453,58.125,0.50125,27,0.347,21.75,0.744125,87.125,0.483,64.375,0.509875,22.75,0.410625,22.75,0.819375
676,676,2017124,2017,WAS,BOS,1545.144479,1567.924076,0.609334664,0.390665336,123,108,Boston,24,35,21,28,-105,1.5,33,25,32,-115,217,-1,H,3305,0,W ,112.25,100.875,83,0.51675,60.875,0.54175,22.125,0.458875,19.875,0.829625,83.875,0.42925,57.25,0.46775,26.625,0.35075,24.5,0.799,676,2017124,2017,WAS,BOS,1545.144479,1567.924076,0.609334664,0.390665336,123,108,Boston,24,35,21,28,-105,1.5,33,25,32,-115,217,-1,H,3305,0,W ,110.25,110,83.75,0.476625,57.5,0.52375,26.25,0.383375,26.125,0.796875,86.625,0.452875,51.5,0.535125,35.125,0.3295,23.5,0.83625
683,683,2017125,2017,BOS,HOU,1558.016702,1632.360169,0.53685575,0.46314425,120,109,Houston,27,31,28,23,-175,0.5,28,36,32,155,229,4,H,3306,11,W ,114.5,109.625,87.125,0.46875,51.25,0.50525,35.875,0.413875,20.875,0.884,87.125,0.464125,60,0.515625,27.125,0.361875,23.875,0.79675,683,2017125,2017,BOS,HOU,1558.016702,1632.360169,0.53685575,0.46314425,120,109,Houston,27,31,28,23,-175,0.5,28,36,32,155,229,4,H,3306,11,W ,112.125,114.5,86.625,0.48525,57.5,0.549625,29.125,0.35925,22.75,0.804375,84.75,0.471375,44.75,0.58375,40,0.3455,27,0.764125
682,682,2017125,2017,BRK,MIA,1296.779712,1448.664385,0.425882109,0.574117891,106,109,Miami,34,21,16,38,-145,4.5,36,23,17,125,217,2.5,A,3307,8,L ,101,114.875,87,0.43125,54.75,0.507,32.25,0.30125,19.625,0.809875,90.75,0.463,62.875,0.4975,27.875,0.388375,27.75,0.741,682,2017125,2017,BRK,MIA,1296.779712,1448.664385,0.425882109,0.574117891,106,109,Miami,34,21,16,38,-145,4.5,36,23,17,125,217,2.5,A,3307,8,L ,109,101.125,82.125,0.475625,55.875,0.50425,26.25,0.419625,25.125,0.806,85.625,0.449375,57.75,0.508375,27.875,0.330625,20.375,0.74725
