,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,2H,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,h_Home_Scorerol,h_Away_Scorerol,h_fgarol,h_fg_pctrol,h_fg2arol,h_fg2_pctrol,h_fg3arol,h_fg3_pctrol,h_ftarol,h_ft_pctrol,h_opp_fgarol,h_opp_fg_pctrol,h_opp_fg2arol,h_opp_fg2_pctrol,h_opp_fg3arol,h_opp_fg3_pctrol,h_opp_ftarol,h_opp_ft_pctrol,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,Home_Scorerol,Away_Scorerol,fgarol,fg_pctrol,fg2arol,fg2_pctrol,fg3arol,fg3_pctrol,ftarol,ft_pctrol,opp_fgarol,opp_fg_pctrol,opp_fg2arol,opp_fg2_pctrol,opp_fg3arol,opp_fg3_pctrol,opp_ftarol,opp_ft_pctrol
21,21,20161028,2017,OKC,PHO,1686.425715,1374.757018,0.914491744,0.085508256,113,110,Phoenix,40,13,30,19,280,107,24,28,25,-345,209,-7.5,H,2650,7,W ,,,,,,,,,,,,,,,,,,,21,20161028,2017,OKC,PHO,1686.425715,1374.757018,0.914491744,0.085508256,113,110,Phoenix,40,13,30,19,280,107,24,28,25,-345,209,-7.5,H,2650,7,W ,,,,,,,,,,,,,,,,,,
17,17,20161028,2017,TOR,CLE,1576.15675,1698.804089,0.467453942,0.532546058,91,94,Cleveland,28,22,21,23,-145,100.5,17,27,24,125,205.5,2.5,A,2651,2,L ,,,,,,,,,,,,,,,,,,,17,20161028,2017,TOR,CLE,1576.15675,1698.804089,0.467453942,0.532546058,91,94,Cleveland,28,22,21,23,-145,100.5,17,27,24,125,205.5,2.5,A,2651,2,L ,,,,,,,,,,,,,,,,,,
23,23,20161028,2017,UTA,LAL,1525.270688,1343.28638,0.835240402,0.164759598,96,89,LALakers,27,16,22,24,370,100,20,17,31,-465,202,-9,H,2652,20,W ,,,,,,,,,,,,,,,,,,,23,20161028,2017,UTA,LAL,1525.270688,1343.28638,0.835240402,0.164759598,96,89,LALakers,27,16,22,24,370,100,20,17,31,-465,202,-9,H,2652,20,W ,,,,,,,,,,,,,,,,,,
30,30,20161029,2017,CHI,IND,1473.613113,1525.332025,0.569038243,0.430961757,118,101,Indiana,20,21,26,34,145,4.5,38,30,26,-165,209.5,-3.5,H,2653,4,W ,,,,,,,,,,,,,,,,,,,30,20161029,2017,CHI,IND,1473.613113,1525.332025,0.569038243,0.430961757,118,101,Indiana,20,21,26,34,145,4.5,38,30,26,-165,209.5,-3.5,H,2653,4,W ,,,,,,,,,,,,,,,,,,
26,26,20161029,2017,CHO,BOS,1567.221776,1535.009857,0.681586645,0.318413355,98,104,Boston,28,16,27,33,-145,1,22,31,26,125,202.5,2.5,A,2654,3,L ,,,,,,,,,,,,,,,,,,,26,20161029,2017,CHO,BOS,1567.221776,1535.009857,0.681586645,0.318413355,98,104,Boston,28,16,27,33,-145,1,22,31,26,125,202.5,2.5,A,2654,3,L ,,,,,,,,,,,,,,,,,,
27,27,20161029,2017,CLE,ORL,1703.937789,1432.670381,0.894465366,0.105534634,105,99,Orlando,20,25,17,37,500,101,29,18,25,-800,204.5,-11,H,2655,1,W ,,,,,,,,,,,,,,,,,,,27,20161029,2017,CLE,ORL,1703.937789,1432.670381,0.894465366,0.105534634,105,99,Orlando,20,25,17,37,500,101,29,18,25,-800,204.5,-11,H,2655,1,W ,,,,,,,,,,,,,,,,,,
32,32,20161029,2017,DEN,POR,1454.888764,1576.825838,0.468471899,0.531528101,113,115,Portland,33,29,19,23,-125,104.5,26,34,16,105,211.5,1,A,2656,4,L ,,,,,,,,,,,,,,,,,,,32,20161029,2017,DEN,POR,1454.888764,1576.825838,0.468471899,0.531528101,113,115,Portland,33,29,19,23,-125,104.5,26,34,16,105,211.5,1,A,2656,4,L ,,,,,,,,,,,,,,,,,,
31,31,20161029,2017,MIL,BRK,1410.049142,1354.691804,0.709778541,0.290221459,110,108,Brooklyn,18,23,32,35,280,104,22,34,30,-360,205,-8,H,2657,8,W ,,,,,,,,,,,,,,,,,,,31,20161029,2017,MIL,BRK,1410.049142,1354.691804,0.709778541,0.290221459,110,108,Brooklyn,18,23,32,35,280,104,22,34,30,-360,205,-8,H,2657,8,W ,,,,,,,,,,,,,,,,,,
28,28,20161029,2017,NYK,MEM,1411.263589,1458.878589,0.574821945,0.425178055,111,104,Memphis,19,30,28,27,135,1,25,25,29,-155,198.5,-3,H,2658,0,W ,,,,,,,,,,,,,,,,,,,28,20161029,2017,NYK,MEM,1411.263589,1458.878589,0.574821945,0.425178055,111,104,Memphis,19,30,28,27,135,1,25,25,29,-155,198.5,-3,H,2658,0,W ,,,,,,,,,,,,,,,,,,
25,25,20161029,2017,PHI,ATL,1276.616587,1578.275802,0.238514004,0.761485996,72,104,Atlanta,29,24,21,30,-370,0.5,15,19,14,285,202,7.5,A,2659,5,L ,,,,,,,,,,,,,,,,,,,25,20161029,2017,PHI,ATL,1276.616587,1578.275802,0.238514004,0.761485996,72,104,Atlanta,29,24,21,30,-370,0.5,15,19,14,285,202,7.5,A,2659,5,L ,,,,,,,,,,,,,,,,,,
33,33,20161029,2017,SAC,MIN,1459.005799,1430.390697,0.677076331,0.322923669,106,103,Minnesota,34,31,12,26,-110,101,29,31,21,-110,203,0,H,2660,8,W ,,,,,,,,,,,,,,,,,,,33,20161029,2017,SAC,MIN,1459.005799,1430.390697,0.677076331,0.322923669,106,103,Minnesota,34,31,12,26,-110,101,29,31,21,-110,203,0,H,2660,8,W ,,,,,,,,,,,,,,,,,,
29,29,20161029,2017,SAS,NOP,1729.329614,1393.77991,0.924646814,0.075353186,98,79,NewOrleans,23,22,15,19,900,100,27,28,15,-1900,204,-14,H,2661,3,W ,,,,,,,,,,,,,,,,,,,29,20161029,2017,SAS,NOP,1729.329614,1393.77991,0.924646814,0.075353186,98,79,NewOrleans,23,22,15,19,900,100,27,28,15,-1900,204,-14,H,2661,3,W ,,,,,,,,,,,,,,,,,,
35,35,20161030,2017,DET,MIL,1500.391745,1412.543722,0.746747509,0.253252491,98,83,Milwaukee,21,18,26,18,250,97,26,25,23,-315,197.5,-7,H,2662,1,W ,,,,,,,,,,,,,,,,,,,35,20161030,2017,DET,MIL,1500.391745,1412.543722,0.746747509,0.253252491,98,83,Milwaukee,21,18,26,18,250,97,26,25,23,-315,197.5,-7,H,2662,1,W ,,,,,,,,,,,,,,,,,,
39,39,20161030,2017,HOU,DAL,1529.186125,1485.717127,0.69548179,0.30451821,93,92,Dallas,25,28,17,22,200,107.5,29,17,13,-240,213.5,-6,H,2663,3,W ,,,,,,,,,,,,,,,,,,,39,20161030,2017,HOU,DAL,1529.186125,1485.717127,0.69548179,0.30451821,93,92,Dallas,25,28,17,22,200,107.5,29,17,13,-240,213.5,-6,H,2663,3,W ,,,,,,,,,,,,,,,,,,
34,34,20161030,2017,LAC,UTA,1596.610981,1527.532598,0.725775458,0.274224542,88,75,Utah,22,13,21,19,295,98.5,23,27,19,-360,189,-7.5,H,2664,2,W ,,,,,,,,,,,,,,,,,,,34,20161030,2017,LAC,UTA,1596.610981,1527.532598,0.725775458,0.274224542,88,75,Utah,22,13,21,19,295,98.5,23,27,19,-360,189,-7.5,H,2664,2,W ,,,,,,,,,,,,,,,,,,
40,40,20161030,2017,MEM,WAS,1452.012488,1516.500545,0.550928564,0.449071436,112,103,Washington,22,32,23,23,-160,3.5,31,20,22,140,204.5,3.5,H,2665,16,W ,,,,,,,,,,,,,,,,,,,40,20161030,2017,MEM,WAS,1452.012488,1516.500545,0.550928564,0.449071436,112,103,Washington,22,32,23,23,-160,3.5,31,20,22,140,204.5,3.5,H,2665,16,W ,,,,,,,,,,,,,,,,,,
37,37,20161030,2017,MIA,SAS,1573.304861,1731.096371,0.417589975,0.582410025,99,106,SanAntonio,24,28,25,29,-290,1.5,25,28,27,230,194,6.5,A,2666,3,L ,,,,,,,,,,,,,,,,,,,37,20161030,2017,MIA,SAS,1573.304861,1731.096371,0.417589975,0.582410025,99,106,SanAntonio,24,28,25,29,-290,1.5,25,28,27,230,194,6.5,A,2666,3,L ,,,,,,,,,,,,,,,,,,
38,38,20161030,2017,OKC,LAL,1687.144938,1341.024471,0.92877852,0.07122148,113,96,LALakers,24,22,25,25,355,107,28,19,36,-450,216,-8.5,H,2667,6,W ,,,,,,,,,,,,,,,,,,,38,20161030,2017,OKC,LAL,1687.144938,1341.024471,0.92877852,0.07122148,113,96,LALakers,24,22,25,25,355,107,28,19,36,-450,216,-8.5,H,2667,6,W ,,,,,,,,,,,,,,,,,,
36,36,20161030,2017,PHO,GSW,1374.037795,1667.965539,0.24669121,0.75330879,100,106,GoldenState,22,33,26,25,-791,9,27,21,22,570,227,11.5,A,2668,12,L ,,,,,,,,,,,,,,,,,,,36,20161030,2017,PHO,GSW,1374.037795,1667.965539,0.24669121,0.75330879,100,106,GoldenState,22,33,26,25,-791,9,27,21,22,570,227,11.5,A,2668,12,L ,,,,,,,,,,,,,,,,,,
