,Unnamed: 0,Unnamed: 0.1,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,h_Home_Scorerol,h_Away_Scorerol,h_fgarol,h_fg_pctrol,h_fg2arol,h_fg2_pctrol,h_fg3arol,h_fg3_pctrol,h_ftarol,h_ft_pctrol,h_opp_fgarol,h_opp_fg_pctrol,h_opp_fg2arol,h_opp_fg2_pctrol,h_opp_fg3arol,h_opp_fg3_pctrol,h_opp_ftarol,h_opp_ft_pctrol,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,Home_Scorerol,Away_Scorerol,fgarol,fg_pctrol,fg2arol,fg2_pctrol,fg3arol,fg3_pctrol,ftarol,ft_pctrol,opp_fgarol,opp_fg_pctrol,opp_fg2arol,opp_fg2_pctrol,opp_fg3arol,opp_fg3_pctrol,opp_ftarol,opp_ft_pctrol
1259,1260,1260,2018420,2018,MIL,BOS,1503.962043,1585.568125,0.526446272,0.473553728,116,92,Boston,12,23,32,25,180,27,31,27,31,-220,205.5,-4.5,H,5187,4,W ,112.875,107.25,84.75,0.5075,60.375,0.56575,24.375,0.357,23.75,0.764625,84.875,0.467375,57.25,0.528125,27.625,0.33125,23.125,0.7915,1260,2018420,2018,MIL,BOS,1503.962043,1585.568125,0.526446272,0.473553728,116,92,Boston,12,23,32,25,180,27,31,27,31,-220,205.5,-4.5,H,5187,4,W ,101.5,97.625,83.625,0.475625,53.25,0.551375,30.375,0.333125,16.125,0.758375,79.75,0.4325,55.75,0.438625,24,0.422125,23,0.824125
1260,1259,1259,2018420,2018,WAS,TOR,1477.654328,1680.633061,0.355994213,0.644005787,122,103,Toronto,29,32,21,21,-105,30,39,32,21,-115,217.5,-1,H,5188,7,W ,107.625,102.125,83.625,0.48575,57.625,0.5025,26,0.43625,19.125,0.78625,83.875,0.446,56.125,0.47275,27.75,0.38625,22.125,0.774,1259,2018420,2018,WAS,TOR,1477.654328,1680.633061,0.355994213,0.644005787,122,103,Toronto,29,32,21,21,-105,30,39,32,21,-115,217.5,-1,H,5188,7,W ,109.375,106.625,86.875,0.478625,62,0.5095,24.875,0.41,21,0.77175,84.875,0.472375,51.375,0.55725,33.5,0.349375,18.5,0.809
1261,1261,1261,2018421,2018,MIA,PHI,1506.18544,1659.961725,0.423221854,0.576778146,102,106,Philadelphia,26,30,23,27,-180,26,35,22,19,155,212,4,A,5189,12,L ,104.375,106.25,88.75,0.4485,63.25,0.496875,25.5,0.334375,22,0.74075,87.125,0.425875,55.875,0.477875,31.25,0.324625,28.25,0.770375,1261,2018421,2018,MIA,PHI,1506.18544,1659.961725,0.423221854,0.576778146,102,106,Philadelphia,26,30,23,27,-180,26,35,22,19,155,212,4,A,5189,12,L ,104,115.75,89.25,0.428875,58.375,0.467375,30.875,0.3415,25.5,0.66075,88.75,0.474875,54.25,0.528125,34.5,0.38825,25.25,0.733375
1262,1263,1263,2018421,2018,MIN,HOU,1545.54848,1738.086875,0.369888816,0.630111184,121,105,Houston,28,23,24,30,-240,27,25,35,34,199,217,5.5,H,5190,7,W ,113.125,109.875,87.125,0.48425,62.75,0.513875,24.375,0.408,22.75,0.823875,83,0.489875,53.5,0.54175,29.5,0.39975,22.875,0.740875,1263,2018421,2018,MIN,HOU,1545.54848,1738.086875,0.369888816,0.630111184,121,105,Houston,28,23,24,30,-240,27,25,35,34,199,217,5.5,H,5190,7,W ,103.75,104,85.625,0.469125,59.5,0.5225,26.125,0.355375,20.125,0.743625,82.75,0.4385,42.5,0.508875,40.25,0.368,22.375,0.750625
1263,1262,1262,2018421,2018,NOP,POR,1618.600801,1583.952613,0.684622504,0.315377496,131,123,Portland,25,31,31,36,222,26,32,42,31,-270,217,-6.5,H,5191,13,W ,115.75,106.375,86.25,0.514,60,0.590125,26.25,0.322875,22.375,0.820125,92.5,0.4375,62.75,0.4895,29.75,0.332875,19.5,0.81225,1262,2018421,2018,NOP,POR,1618.600801,1583.952613,0.684622504,0.315377496,131,123,Portland,25,31,31,36,222,26,32,42,31,-270,217,-6.5,H,5191,13,W ,109.5,103.125,84.375,0.488375,55.75,0.559,28.625,0.344375,23.25,0.745625,89.125,0.450375,58.75,0.534,30.375,0.301625,18.5,0.781875
1264,1264,1264,2018421,2018,UTA,OKC,1688.328115,1617.570434,0.727695195,0.272304805,115,102,oklahomaCity,30,23,22,27,184,22,36,31,26,-220,209,-5,H,5192,6,W ,108.25,97,82.625,0.4805,51.25,0.572875,31.375,0.329125,25.625,0.7285,82.125,0.43875,58.375,0.44625,23.75,0.417625,20.875,0.73275,1264,2018421,2018,UTA,OKC,1688.328115,1617.570434,0.727695195,0.272304805,115,102,oklahomaCity,30,23,22,27,184,22,36,31,26,-220,209,-5,H,5192,6,W ,106.125,110.375,82.75,0.468,51.125,0.521125,31.625,0.37875,22.5,0.745,86.5,0.45125,56.5,0.479,30,0.395375,28,0.731125
1265,1268,1268,2018422,2018,IND,CLE,1575.816197,1533.158363,0.694491964,0.305508036,100,104,Cleveland,30,30,20,24,-135,24,26,28,22,115,206.5,1.5,A,5193,7,L ,105.25,104.5,90.125,0.464125,62.875,0.51625,27.25,0.341,15.875,0.761625,83,0.464625,50.125,0.53625,32.875,0.350875,19.625,0.794625,1268,2018422,2018,IND,CLE,1575.816197,1533.158363,0.694491964,0.305508036,100,104,Cleveland,30,30,20,24,-135,24,26,28,22,115,206.5,1.5,A,5193,7,L ,107.375,109.875,85.25,0.477,54.125,0.5375,31.125,0.3595,18.875,0.7475,84.875,0.4675,51.875,0.533875,33,0.36075,23.5,0.7715
1266,1265,1265,2018422,2018,MIL,BOS,1521.343448,1568.186721,0.575907317,0.424092683,104,102,Boston,17,18,32,35,200,24,27,24,29,-250,203.5,-6,H,5194,3,W ,110.875,106,84.75,0.502375,59.75,0.56075,25,0.355875,21.875,0.76225,83.5,0.459125,55.75,0.51275,27.75,0.343125,24.5,0.79325,1265,2018422,2018,MIL,BOS,1521.343448,1568.186721,0.575907317,0.424092683,104,102,Boston,17,18,32,35,200,24,27,24,29,-250,203.5,-6,H,5194,3,W ,102,97.25,81.375,0.48575,52.25,0.552375,29.125,0.35725,17.25,0.752125,81,0.427375,55.625,0.44375,25.375,0.388875,22.875,0.80875
1267,1266,1266,2018422,2018,SAS,GSW,1545.365637,1612.77061,0.546770878,0.453229122,103,90,GoldenState,22,20,29,19,-300,30,26,21,26,240,206.5,5.5,H,5195,0,W ,104.875,97.75,83.375,0.472,58.75,0.52125,24.625,0.348875,23.125,0.756625,84.25,0.43225,56.75,0.48425,27.5,0.33825,19.75,0.795625,1266,2018422,2018,SAS,GSW,1545.365637,1612.77061,0.546770878,0.453229122,103,90,GoldenState,22,20,29,19,-300,30,26,21,26,240,206.5,5.5,H,5195,0,W ,104.625,100,88.125,0.446125,57,0.504375,31.125,0.349125,20,0.76275,83.875,0.45,57.125,0.527,26.75,0.29025,19.75,0.83075
1268,1267,1267,2018422,2018,WAS,TOR,1499.843199,1658.444191,0.416457121,0.583542879,106,98,Toronto,30,21,29,18,-125,22,18,40,26,105,217,1.5,H,5196,3,W ,107.25,101.625,85,0.4755,59.375,0.491875,25.625,0.42525,20.125,0.767625,83,0.443125,56,0.47375,27,0.372375,24,0.769875,1267,2018422,2018,WAS,TOR,1499.843199,1658.444191,0.416457121,0.583542879,106,98,Toronto,30,21,29,18,-125,22,18,40,26,105,217,1.5,H,5196,3,W ,110.25,105.625,85.875,0.48225,61.875,0.508625,24,0.425,22.75,0.768125,84.875,0.47075,53.125,0.5515,31.75,0.351125,18.75,0.79775
