Inn,Score,Out,RoB,Pit(cnt),R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
t3,0-2,2,---,5(2-2) BCBFX,O,CHW,Leury Garcia,Carlos Carrasco,1%,76%,Groundout: 3B-1B (Weak SS)
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. White Sox 0 Indians 2.,0 runs 0 hits 0 errors 0 LOB. White Sox 0 Indians 2.,0 runs 0 hits 0 errors 0 LOB. White Sox 0 Indians 2.
Bottom of the 3rd Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 3-4-5,Bottom of the 3rd Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 3-4-5,Bottom of the 3rd Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 3-4-5,Bottom of the 3rd Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 3-4-5,Bottom of the 3rd Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 3-4-5,Bottom of the 3rd Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 3-4-5,Bottom of the 3rd Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 3-4-5,Bottom of the 3rd Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 3-4-5,Bottom of the 3rd Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 3-4-5,Bottom of the 3rd Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 3-4-5,Bottom of the 3rd Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 3-4-5,Bottom of the 3rd Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 3-4-5
b3,2-0,0,---,3(1-1) SBX,O,CLE,Jose Ramirez,Manny Banuelos,-2%,75%,Popfly: 2B (Deep SS-2B)
b3,2-0,1,---,2(1-0) BX,,CLE,Carlos Santana,Manny Banuelos,3%,78%,Single to P (Ground Ball); Santana to 2B/Adv on E1 (throw)
b3,2-0,1,-2-,5(2-2) B*BCSC,O,CLE,Jordan Luplow,Manny Banuelos,-2%,75%,Strikeout Looking
b3,2-0,2,-2-,6(2-2) CFFBBS,O,CLE,Carlos Gonzalez,Manny Banuelos,-2%,73%,Strikeout Swinging
,,,,,,,,,0 runs 1 hit 1 error 1 LOB. White Sox 0 Indians 2.,0 runs 1 hit 1 error 1 LOB. White Sox 0 Indians 2.,0 runs 1 hit 1 error 1 LOB. White Sox 0 Indians 2.
Top of the 4th White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 2-3-4,Top of the 4th White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 2-3-4,Top of the 4th White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 2-3-4,Top of the 4th White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 2-3-4,Top of the 4th White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 2-3-4,Top of the 4th White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 2-3-4,Top of the 4th White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 2-3-4,Top of the 4th White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 2-3-4,Top of the 4th White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 2-3-4,Top of the 4th White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 2-3-4,Top of the 4th White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 2-3-4,Top of the 4th White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 2-3-4
t4,0-2,0,---,4(1-2) CSBC,O,CHW,Yoan Moncada,Carlos Carrasco,3%,75%,Strikeout Looking
t4,0-2,1,---,3(1-1) BCX,O,CHW,Jose Abreu,Carlos Carrasco,2%,77%,Groundout: 3B-1B (Weak 3B)
t4,0-2,2,---,5(2-2) CBBSX,,CHW,Yonder Alonso,Carlos Carrasco,-2%,75%,Double to LF (Line Drive to Deep LF)
t4,0-2,2,-2-,11(3-2) BBSCFF*BFFFS,O,CHW,James McCann,Carlos Carrasco,4%,78%,Strikeout Swinging
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. White Sox 0 Indians 2.,0 runs 1 hit 0 errors 1 LOB. White Sox 0 Indians 2.,0 runs 1 hit 0 errors 1 LOB. White Sox 0 Indians 2.
Bottom of the 4th Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 7-8-9,Bottom of the 4th Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 7-8-9,Bottom of the 4th Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 7-8-9,Bottom of the 4th Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 7-8-9,Bottom of the 4th Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 7-8-9,Bottom of the 4th Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 7-8-9,Bottom of the 4th Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 7-8-9,Bottom of the 4th Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 7-8-9,Bottom of the 4th Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 7-8-9,Bottom of the 4th Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 7-8-9,Bottom of the 4th Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 7-8-9,Bottom of the 4th Indians Batting Ahead 2-0 White Sox' Manny Banuelos facing 7-8-9
b4,2-0,0,---,5(3-1) BBBCB,,CLE,Jake Bauers,Manny Banuelos,2%,81%,Walk
b4,2-0,0,1--,2(0-1) FX,,CLE,Roberto Perez,Manny Banuelos,3%,84%,Single to CF (Line Drive to Deep LF-CF); Bauers to 2B
b4,2-0,0,12-,1(0-0) X,O,CLE,Tyler Naquin,Manny Banuelos,0%,84%,Bunt Groundout: 3B-1B/Sacrifice (Short 3B Line); Bauers to 3B; Perez to 2B
b4,2-0,1,-23,(3-0) VVVV,,CLE,Francisco Lindor,Manny Banuelos,0%,85%,Intentional Walk
b4,2-0,1,123,5(2-2) CBBFC,O,CLE,Jason Kipnis,Manny Banuelos,-5%,80%,Strikeout Looking
b4,2-0,2,123,3(2-0) BBX,O,CLE,Jose Ramirez,Manny Banuelos,-5%,75%,Popfly: 3B (SS-3B Hole)
,,,,,,,,,0 runs 1 hit 0 errors 3 LOB. White Sox 0 Indians 2.,0 runs 1 hit 0 errors 3 LOB. White Sox 0 Indians 2.,0 runs 1 hit 0 errors 3 LOB. White Sox 0 Indians 2.
Top of the 5th White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 6-7-8,Top of the 5th White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 6-7-8,Top of the 5th White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 6-7-8,Top of the 5th White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 6-7-8,Top of the 5th White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 6-7-8,Top of the 5th White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 6-7-8,Top of the 5th White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 6-7-8,Top of the 5th White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 6-7-8,Top of the 5th White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 6-7-8,Top of the 5th White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 6-7-8,Top of the 5th White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 6-7-8,Top of the 5th White Sox Batting Behind 0-2 Indians' Carlos Carrasco facing 6-7-8
t5,0-2,0,---,2(0-1) CX,O,CHW,Nick Delmonico,Carlos Carrasco,3%,78%,Flyball: CF (Deep CF)
t5,0-2,1,---,4(1-2) CFBS,O,CHW,Tim Anderson,Carlos Carrasco,2%,80%,Strikeout Swinging
t5,0-2,2,---,5(1-2) CBFFX,O,CHW,Charlie Tilson,Carlos Carrasco,1%,81%,Groundout: 2B-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. White Sox 0 Indians 2.,0 runs 0 hits 0 errors 0 LOB. White Sox 0 Indians 2.,0 runs 0 hits 0 errors 0 LOB. White Sox 0 Indians 2.
