,lead_changes,h_Avg_pts,h_Avg_pts_alwd,h_fga,h_fg_pct,h_fg2a,h_fg2_pct,h_fg3a,h_fg3_pct,h_fta,h_ft_pct,h_opp_fga,h_opp_fg_pct,h_opp_fg2a,h_opp_fg2_pct,h_opp_fg3a,h_opp_fg3_pct,h_opp_fta,result,home_id1,opp_id_x,Date1,lead_changes,Avg_pts_alwd,Avg_pts,fg,fga,fg_pct,fg2a,fg2_pct,fg3a,fg3_pct,fta,opp_fga,opp_fg_pct,opp_fg2a,opp_fg2_pct,opp_fg3a,opp_fg3_pct,opp_fta,opp_ft_pct,home_id,opp_id_x,Date,season,neutral,opp_id_y,elo1_pre,elo2_pre,elo_prob1,elo_prob2,score1,score2
62,,,,,,,,,,,,,,,,,,,L,PHI,ORL,11/5/14,,,,,,,,,,,,,,,,,,,,PHI,ORL,11/5/14,2015,0,ORL,1295.0255,1337.3835,0.582200691,0.417799309,89,91
63,,,,,,,,,,,,,,,,,,,L,PHO,MEM,11/5/14,,,,,,,,,,,,,,,,,,,,PHO,MEM,11/5/14,2015,0,MEM,1550.7885,1601.5613,0.570373343,0.429626657,91,102
64,,,,,,,,,,,,,,,,,,,W,SAC,DEN,11/5/14,,,,,,,,,,,,,,,,,,,,SAC,DEN,11/5/14,2015,0,DEN,1459.156,1463.2131,0.634667126,0.365332874,131,109
65,,,,,,,,,,,,,,,,,,,W,SAS,ATL,11/5/14,,,,,,,,,,,,,,,,,,,,SAS,ATL,11/5/14,2015,0,ATL,1693.1268,1494.0365,0.848347956,0.151652044,94,92
66,,,,,,,,,,,,,,,,,,,W,UTA,CLE,11/5/14,,,,,,,,,,,,,,,,,,,,UTA,CLE,11/5/14,2015,0,CLE,1391.1675,1462.8657,0.540639714,0.459360286,102,100
67,,,,,,,,,,,,,,,,,,,W,WAS,IND,11/5/14,,,,,,,,,,,,,,,,,,,,WAS,IND,11/5/14,2015,0,IND,1560.9689,1499.0757,0.717467117,0.282532883,96,94
68,,,,,,,,,,,,,,,,,,,W,HOU,SAS,11/6/14,,,,,,,,,,,,,,,,,,,,HOU,SAS,11/6/14,2015,0,SAS,1640.0063,1694.3094,0.565386516,0.434613484,98,81
69,,,,,,,,,,,,,,,,,,,W,POR,DAL,11/6/14,,,,,,,,,,,,,,,,,,,,POR,DAL,11/6/14,2015,0,DAL,1566.2142,1601.5667,0.5919762,0.4080238,108,87
70,,,,,,,,,,,,,,,,,,,W,BOS,IND,11/7/14,,,,,,,,,,,,,,,,,,,,BOS,IND,11/7/14,2015,0,IND,1386.1544,1496.6584,0.484888133,0.515111867,101,98
71,,,,,,,,,,,,,,,,,,,W,BRK,NYK,11/7/14,,,,,,,,,,,,,,,,,,,,BRK,NYK,11/7/14,2015,0,NYK,1522.2559,1497.7227,0.671917557,0.328082443,110,99
72,,,,,,,,,,,,,,,,,,,W,CHO,ATL,11/7/14,,,,,,,,,,,,,,,,,,,,CHO,ATL,11/7/14,2015,0,ATL,1503.3374,1492.8539,0.653847372,0.346152628,122,119
73,,,,,,,,,,,,,,,,,,,L,DEN,CLE,11/7/14,,,,,,,,,,,,,,,,,,,,DEN,CLE,11/7/14,2015,0,CLE,1451.3311,1458.5249,0.630470416,0.369529584,101,110
74,,,,,,,,,,,,,,,,,,,W,DET,MIL,11/7/14,,,,,,,,,,,,,,,,,,,,DET,MIL,11/7/14,2015,0,MIL,1377.3285,1333.151,0.696344866,0.303655134,98,95
75,,,,,,,,,,,,,,,,,,,L,OKC,MEM,11/7/14,,,,,,,,,,,,,,,,,,,,OKC,MEM,11/7/14,2015,0,MEM,1577.488,1614.6375,0.589475261,0.410524739,89,91
76,,,,,,,,,,,,,,,,,,,W,ORL,MIN,11/7/14,,,,,,,,,,,,,,,,,,,,ORL,MIN,11/7/14,2015,0,MIN,1343.2817,1520.7645,0.390305832,0.609694168,112,103
77,,,,,,,,,,,,,,,,,,,L,PHI,CHI,11/7/14,,,,,,,,,,,,,,,,,,,,PHI,CHI,11/7/14,2015,0,CHI,1289.1273,1570.2413,0.260653261,0.739346739,115,118
78,,,,,,,,,,,,,,,,,,,L,PHO,SAC,11/7/14,,,,,,,,,,,,,,,,,,,,PHO,SAC,11/7/14,2015,0,SAC,1537.7123,1471.0381,0.723012438,0.276987562,112,114
79,,,,,,,,,,,,,,,,,,,W,TOR,WAS,11/7/14,,,,,,,,,,,,,,,,,,,,TOR,WAS,11/7/14,2015,0,WAS,1571.624,1563.3861,0.650915868,0.349084132,103,84
80,,,,,,,,,,,,,,,,,,,L,UTA,DAL,11/7/14,,,,,,,,,,,,,,,,,,,,UTA,DAL,11/7/14,2015,0,DAL,1395.5083,1588.4167,0.369392531,0.630607469,82,105
81,,,,,,,,,,,,,,,,,,,W,ATL,NYK,11/8/14,,,,,,,,,,,,,,,,,,,,ATL,NYK,11/8/14,2015,0,NYK,1489.2977,1491.152,0.637602198,0.362397802,103,96
82,,,,,,,,,,,,,,,,,,,L,CHI,BOS,11/8/14,,,,,,,,,,,,,,,,,,,,CHI,BOS,11/8/14,2015,0,BOS,1572.7869,1391.9628,0.834319262,0.165680738,101,106
83,,,,,,,,,,,,,,,,,,,L,HOU,GSW,11/8/14,,,,,,,,,,,,,,,,,,,,HOU,GSW,11/8/14,2015,0,GSW,1652.2893,1625.957,0.674196501,0.325803499,87,98
