,Unnamed: 0,Unnamed: 0.1,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,2H,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,h_Home_Scorerol,h_Away_Scorerol,h_fgarol,h_fg_pctrol,h_fg2arol,h_fg2_pctrol,h_fg3arol,h_fg3_pctrol,h_ftarol,h_ft_pctrol,h_opp_fgarol,h_opp_fg_pctrol,h_opp_fg2arol,h_opp_fg2_pctrol,h_opp_fg3arol,h_opp_fg3_pctrol,h_opp_ftarol,h_opp_ft_pctrol,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,Home_Scorerol,Away_Scorerol,fgarol,fg_pctrol,fg2arol,fg2_pctrol,fg3arol,fg3_pctrol,ftarol,ft_pctrol,opp_fgarol,opp_fg_pctrol,opp_fg2arol,opp_fg2_pctrol,opp_fg3arol,opp_fg3_pctrol,opp_ftarol,opp_ft_pctrol
1255,1255,1255,2017421,2017,OKC,HOU,1528.493244,1615.874611,0.518151692,0.481848308,115,113,Houston,25,33,25,30,125,1.5,31,28,22,-145,224,-2.5,H,3878,2,W ,106.625,102.25,86.25,0.474625,62.875,0.527125,23.375,0.326625,23.75,0.73325,83.25,0.43875,56.5,0.50025,26.75,0.30575,26.375,0.78725,1255,2017421,2017,OKC,HOU,1528.493244,1615.874611,0.518151692,0.481848308,115,113,Houston,25,33,25,30,125,1.5,31,28,22,-145,224,-2.5,H,3878,2,W ,117.625,111.625,91.75,0.48375,61.75,0.550625,30,0.34975,25,0.75075,87.875,0.445375,51.5,0.5485,36.375,0.29875,28.375,0.788625
1256,1256,1256,2017421,2017,UTA,LAC,1618.306858,1634.451801,0.618387245,0.381612755,106,111,LAClippers,21,28,33,29,-120,3,24,26,22,100,197.5,1.5,A,3879,5,L ,107.25,100.625,77.5,0.509625,51.375,0.535875,26.125,0.474375,23.75,0.694125,81,0.4665,59.125,0.505125,21.875,0.367625,21.5,0.818375,1256,2017421,2017,UTA,LAC,1618.306858,1634.451801,0.618387245,0.381612755,106,111,LAClippers,21,28,33,29,-120,3,24,26,22,100,197.5,1.5,A,3879,5,L ,107.25,112.125,82.75,0.489625,58.5,0.52525,24.25,0.409875,22.75,0.719,80.375,0.515,53.5,0.56775,26.875,0.405125,25,0.719625
1257,1258,1258,2017422,2017,ATL,WAS,1471.997107,1594.111528,0.468217699,0.531782301,116,98,Washington,20,26,21,31,125,6,26,26,26,-145,211,-2.5,H,3880,0,W ,105.375,103.625,86.625,0.43675,60,0.5035,26.625,0.294875,31,0.716,90.75,0.419125,60.75,0.47175,30,0.304125,23,0.797125,1258,2017422,2017,ATL,WAS,1471.997107,1594.111528,0.468217699,0.531782301,116,98,Washington,20,26,21,31,125,6,26,26,26,-145,211,-2.5,H,3880,0,W ,113.125,107.125,86.75,0.499125,60.75,0.553125,26,0.3795,22.5,0.7865,87.375,0.47075,61.25,0.532375,26.125,0.324625,21.625,0.766625
1258,1259,1259,2017422,2017,MEM,SAS,1488.336212,1655.033858,0.405176365,0.594823635,110,108,SanAntonio,26,25,20,25,-220,6,32,19,22,184,187,5,H,3881,7,W ,101,97.875,79.25,0.4695,53.375,0.497125,25.875,0.41075,18.75,0.850625,82.5,0.436875,53.25,0.48,29.25,0.362625,21.125,0.727375,1259,2017422,2017,MEM,SAS,1488.336212,1655.033858,0.405176365,0.594823635,110,108,SanAntonio,26,25,20,25,-220,6,32,19,22,184,187,5,H,3881,7,W ,99.5,99.375,80.25,0.449375,56,0.472,24.25,0.397,21.25,0.82025,83.875,0.447375,58.5,0.492,25.375,0.348375,21.375,0.763875
1259,1257,1257,2017422,2017,MIL,TOR,1538.768983,1563.861889,0.606160157,0.393839843,76,87,Toronto,19,22,23,23,115,96,22,17,18,-135,194,-2.5,A,3882,12,L ,97.25,94.75,80.75,0.451875,54.375,0.4835,26.375,0.386875,18.75,0.749625,81.375,0.442625,58.375,0.494375,23,0.328125,18.875,0.779375,1257,2017422,2017,MIL,TOR,1538.768983,1563.861889,0.606160157,0.393839843,76,87,Toronto,19,22,23,23,115,96,22,17,18,-135,194,-2.5,A,3882,12,L ,92.5,95.25,80.875,0.430125,55.125,0.477125,25.75,0.334375,19.375,0.757375,79.625,0.447125,54.875,0.518,24.75,0.296375,20.125,0.8155
1260,1260,1260,2017422,2017,POR,GSW,1555.682221,1777.218927,0.331896147,0.668103853,113,119,GoldenState,30,24,33,32,-205,7.5,30,21,25,172,217.5,4.5,A,3883,9,L ,110.875,105.125,88.625,0.45125,57.375,0.4765,31.25,0.402875,22.875,0.77875,87.25,0.451,63.25,0.507125,24,0.3025,24.375,0.78425,1260,2017422,2017,POR,GSW,1555.682221,1777.218927,0.331896147,0.668103853,113,119,GoldenState,30,24,33,32,-205,7.5,30,21,25,172,217.5,4.5,A,3883,9,L ,102.5,109,88.125,0.42425,61.75,0.473125,26.375,0.304125,25.75,0.7755,86.75,0.477625,57.125,0.538875,29.625,0.376,20.375,0.77225
1261,1263,1263,2017423,2017,CHI,BOS,1529.637139,1575.610072,0.577130501,0.422869499,95,104,Boston,30,27,22,25,-125,105,28,24,25,105,204,1.5,A,3884,2,L ,105.625,95.625,86.25,0.459125,60.875,0.48475,25.375,0.39975,20.875,0.80125,85.25,0.43725,56,0.510125,29.25,0.30475,17,0.714375,1263,2017423,2017,CHI,BOS,1529.637139,1575.610072,0.577130501,0.422869499,95,104,Boston,30,27,22,25,-125,105,28,24,25,105,204,1.5,A,3884,2,L ,104,106.375,84.25,0.438,56.75,0.491625,27.5,0.32975,25.75,0.81825,83.375,0.456125,47.875,0.5515,35.5,0.33125,23.375,0.790375
1262,1261,1261,2017423,2017,IND,CLE,1509.679044,1560.895364,0.569747598,0.430252402,102,106,Cleveland,22,36,30,18,-175,1,28,25,25,155,214,4,A,3885,5,L ,108.75,103,87.375,0.460125,61.875,0.486,25.5,0.3965,22.625,0.803625,80.5,0.442,50.625,0.482875,29.875,0.358875,25.375,0.821125,1261,2017423,2017,IND,CLE,1509.679044,1560.895364,0.569747598,0.430252402,102,106,Cleveland,22,36,30,18,-175,1,28,25,25,155,214,4,A,3885,5,L ,108,108,89.875,0.440625,57.75,0.5075,32.125,0.325125,25.25,0.7215,87,0.4565,53.25,0.51625,33.75,0.34625,21.25,0.7725
1263,1262,1262,2017423,2017,OKC,HOU,1533.103158,1611.264696,0.531386749,0.468613251,109,113,Houston,22,32,19,40,-110,2,32,19,32,-110,223.5,0,A,3886,6,L ,106.5,104.625,86.625,0.473875,64.125,0.524125,22.5,0.3245,24.625,0.713625,83.25,0.441625,54.75,0.506625,28.5,0.31525,27.625,0.79,1262,2017423,2017,OKC,HOU,1533.103158,1611.264696,0.531386749,0.468613251,109,113,Houston,22,32,19,40,-110,2,32,19,32,-110,223.5,0,A,3886,6,L ,115.25,111.75,90.875,0.478875,62.75,0.537125,28.125,0.351625,26,0.727375,87.125,0.448875,51.375,0.554625,35.75,0.297375,28.5,0.797
1264,1264,1264,2017423,2017,UTA,LAC,1608.97735,1643.781309,0.592738679,0.407261321,105,98,LAClippers,26,26,28,18,185,97.5,31,22,28,-215,196,-5,H,3887,7,W ,106.125,99.375,77,0.5115,50.75,0.54875,26.25,0.447875,23.625,0.681125,80.625,0.459,58.5,0.49875,22.125,0.360625,22.25,0.811,1264,2017423,2017,UTA,LAC,1608.97735,1643.781309,0.592738679,0.407261321,105,98,LAClippers,26,26,28,18,185,97.5,31,22,28,-215,196,-5,H,3887,7,W ,108.125,110.125,81.625,0.5015,57.125,0.537875,24.5,0.423,22.625,0.711625,80,0.505875,52.875,0.55625,27.125,0.40225,25.125,0.7075
