,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,h_Home_Scorerol,h_Away_Scorerol,h_fgarol,h_fg_pctrol,h_fg2arol,h_fg2_pctrol,h_fg3arol,h_fg3_pctrol,h_ftarol,h_ft_pctrol,h_opp_fgarol,h_opp_fg_pctrol,h_opp_fg2arol,h_opp_fg2_pctrol,h_opp_fg3arol,h_opp_fg3_pctrol,h_opp_ftarol,h_opp_ft_pctrol,Unnamed: 0,Date,season,h_team,a_team,elo1_pre,elo2_pre,elo_prob1,elo_prob2,h_final,a_final,Team,1st,2nd,3rd,4th,ML,h_1st,h_2nd,h_3rd,h_4th,h_ML,total,h_spread,winner,ranker,lead_changes,w_l,Home_Scorerol,Away_Scorerol,fgarol,fg_pctrol,fg2arol,fg2_pctrol,fg3arol,fg3_pctrol,ftarol,ft_pctrol,opp_fgarol,opp_fg_pctrol,opp_fg2arol,opp_fg2_pctrol,opp_fg3arol,opp_fg3_pctrol,opp_ftarol,opp_ft_pctrol
35,35,20171021,2018,LAC,PHO,1600.626145,1349.635109,0.88292927,0.11707073,130,88,Phoenix,18,26,20,24,857,23,35,32,40,-1450,220,-13.5,H,3967,3,W ,,,,,,,,,,,,,,,,,,,35,20171021,2018,LAC,PHO,1600.626145,1349.635109,0.88292927,0.11707073,130,88,Phoenix,18,26,20,24,857,23,35,32,40,-1450,220,-13.5,H,3967,3,W ,,,,,,,,,,,,,,,,,,
30,30,20171021,2018,MEM,GSW,1496.960653,1756.154283,0.285693579,0.714306421,111,101,GoldenState,26,25,20,30,-375,31,25,32,23,299,212.5,8.5,H,3968,8,W ,,,,,,,,,,,,,,,,,,,30,20171021,2018,MEM,GSW,1496.960653,1756.154283,0.285693579,0.714306421,111,101,GoldenState,26,25,20,30,-375,31,25,32,23,299,212.5,8.5,H,3968,8,W ,,,,,,,,,,,,,,,,,,
31,31,20171021,2018,MIA,IND,1542.375421,1488.812602,0.707646014,0.292353986,112,108,Indiana,31,19,26,32,334,26,37,28,21,-425,213.5,-9.5,H,3969,5,W ,,,,,,,,,,,,,,,,,,,31,20171021,2018,MIA,IND,1542.375421,1488.812602,0.707646014,0.292353986,112,108,Indiana,31,19,26,32,334,26,37,28,21,-425,213.5,-9.5,H,3969,5,W ,,,,,,,,,,,,,,,,,,
32,32,20171021,2018,MIL,POR,1506.901075,1574.847099,0.545998945,0.454001055,113,110,Portland,26,29,25,30,130,24,36,24,29,-150,208.5,-3,H,3970,10,W ,,,,,,,,,,,,,,,,,,,32,20171021,2018,MIL,POR,1506.901075,1574.847099,0.545998945,0.454001055,113,110,Portland,26,29,25,30,130,24,36,24,29,-150,208.5,-3,H,3970,10,W ,,,,,,,,,,,,,,,,,,
27,27,20171021,2018,NYK,DET,1400.099774,1462.406464,0.554033208,0.445966792,107,111,Detroit,19,32,28,32,-115,28,36,16,27,-105,204.5,1,A,3971,14,L ,,,,,,,,,,,,,,,,,,,27,20171021,2018,NYK,DET,1400.099774,1462.406464,0.554033208,0.445966792,107,111,Detroit,19,32,28,32,-115,28,36,16,27,-105,204.5,1,A,3971,14,L ,,,,,,,,,,,,,,,,,,
25,25,20171021,2018,TOR,PHI,1540.735743,1368.791702,0.827131963,0.172868037,128,94,Philadelphia,19,30,22,23,292,36,26,40,26,-365,219,-8.5,H,3972,1,W ,,,,,,,,,,,,,,,,,,,25,20171021,2018,TOR,PHI,1540.735743,1368.791702,0.827131963,0.172868037,128,94,Philadelphia,19,30,22,23,292,36,26,40,26,-365,219,-8.5,H,3972,1,W ,,,,,,,,,,,,,,,,,,
33,33,20171021,2018,UTA,OKC,1579.566567,1525.056399,0.708772948,0.291227052,96,87,oklahomaCity,14,20,23,30,-180,21,23,29,23,155,200,4,H,3973,3,W ,,,,,,,,,,,,,,,,,,,33,20171021,2018,UTA,OKC,1579.566567,1525.056399,0.708772948,0.291227052,96,87,oklahomaCity,14,20,23,30,-180,21,23,29,23,155,200,4,H,3973,3,W ,,,,,,,,,,,,,,,,,,
36,36,20171022,2018,BRK,ATL,1405.642552,1484.047658,0.531037593,0.468962407,116,104,Atlanta,25,28,24,27,-105,19,37,35,25,-115,220,-1,H,3974,7,W ,,,,,,,,,,,,,,,,,,,36,20171022,2018,BRK,ATL,1405.642552,1484.047658,0.531037593,0.468962407,116,104,Atlanta,25,28,24,27,-105,19,37,35,25,-115,220,-1,H,3974,7,W ,,,,,,,,,,,,,,,,,,
38,38,20171022,2018,LAL,NOP,1397.433738,1476.01466,0.530785539,0.469214461,112,119,Neworleans,34,34,26,25,-210,22,33,28,29,175,222.5,5.5,A,3975,2,L ,,,,,,,,,,,,,,,,,,,38,20171022,2018,LAL,NOP,1397.433738,1476.01466,0.530785539,0.469214461,112,119,Neworleans,34,34,26,25,-210,22,33,28,29,175,222.5,5.5,A,3975,2,L ,,,,,,,,,,,,,,,,,,
37,37,20171022,2018,OKC,MIN,1520.010593,1476.568551,0.695448926,0.304551074,113,115,Minnesota,28,33,27,27,150,23,31,21,38,-180,212,-4,A,3976,9,L ,,,,,,,,,,,,,,,,,,,37,20171022,2018,OKC,MIN,1520.010593,1476.568551,0.695448926,0.304551074,113,115,Minnesota,28,33,27,27,150,23,31,21,38,-180,212,-4,A,3976,9,L ,,,,,,,,,,,,,,,,,,
